Graph Type,Vertices,Edges,Min Weight,Max Weight,Delta,Algorithm,Threads,Time,Time_best_seq,better_than_sequential,threads_improvement
dense,200,1000,1,5,0.5,Delta Stepping Sequential,,347.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),2.0,493.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),4.0,519.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),6.0,530.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),8.0,537.0,331.0,False,False
dense,200,1000,1,5,0.5,Delta Stepping Sequential,,331.0,331.0,False,True
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),2.0,1611.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),2.0,460.0,331.0,False,True
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),4.0,2998.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),4.0,500.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),6.0,3884.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),6.0,526.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),8.0,5187.0,331.0,False,False
dense,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),8.0,531.0,331.0,False,False
dense,200,1000,1,5,1.0,Delta Stepping Sequential,,328.0,328.0,False,True
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),2.0,460.0,328.0,False,True
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),4.0,502.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),6.0,536.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),8.0,545.0,328.0,False,False
dense,200,1000,1,5,1.0,Delta Stepping Sequential,,333.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 1),2.0,1534.0,328.0,False,True
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),2.0,471.0,328.0,False,True
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 1),4.0,2888.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),4.0,486.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 1),6.0,3739.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),6.0,526.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 1),8.0,5196.0,328.0,False,False
dense,200,1000,1,5,1.0,Parallel Delta Stepping (version 2),8.0,524.0,328.0,False,True
dense,200,1000,1,5,3.0,Delta Stepping Sequential,,357.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),2.0,431.0,348.0,False,True
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),4.0,467.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),6.0,504.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),8.0,530.0,348.0,False,False
dense,200,1000,1,5,3.0,Delta Stepping Sequential,,348.0,348.0,False,True
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 1),2.0,975.0,348.0,False,True
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),2.0,442.0,348.0,False,True
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 1),4.0,1732.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),4.0,493.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 1),6.0,2268.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),6.0,496.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 1),8.0,3824.0,348.0,False,False
dense,200,1000,1,5,3.0,Parallel Delta Stepping (version 2),8.0,523.0,348.0,False,False
dense,200,1000,1,10,0.5,Delta Stepping Sequential,,335.0,325.0,False,True
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),2.0,470.0,325.0,False,True
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),4.0,510.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),6.0,548.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),8.0,538.0,325.0,False,True
dense,200,1000,1,10,0.5,Delta Stepping Sequential,,325.0,325.0,False,True
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 1),2.0,1671.0,325.0,False,True
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),2.0,458.0,325.0,False,True
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 1),4.0,2998.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),4.0,513.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 1),6.0,3777.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),6.0,546.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 1),8.0,5205.0,325.0,False,False
dense,200,1000,1,10,0.5,Parallel Delta Stepping (version 2),8.0,551.0,325.0,False,False
dense,200,1000,1,10,1.0,Delta Stepping Sequential,,334.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),2.0,463.0,334.0,False,True
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),4.0,510.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),6.0,528.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),8.0,541.0,334.0,False,False
dense,200,1000,1,10,1.0,Delta Stepping Sequential,,339.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 1),2.0,1638.0,334.0,False,True
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),2.0,450.0,334.0,False,True
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 1),4.0,3042.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),4.0,502.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 1),6.0,3976.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),6.0,526.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 1),8.0,5320.0,334.0,False,False
dense,200,1000,1,10,1.0,Parallel Delta Stepping (version 2),8.0,561.0,334.0,False,False
dense,200,1000,1,10,3.0,Delta Stepping Sequential,,329.0,329.0,False,True
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),2.0,474.0,329.0,False,True
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),4.0,513.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),6.0,538.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),8.0,534.0,329.0,False,True
dense,200,1000,1,10,3.0,Delta Stepping Sequential,,397.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 1),2.0,1218.0,329.0,False,True
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),2.0,384.0,329.0,False,True
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 1),4.0,1869.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),4.0,482.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 1),6.0,2617.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),6.0,533.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 1),8.0,4425.0,329.0,False,False
dense,200,1000,1,10,3.0,Parallel Delta Stepping (version 2),8.0,549.0,329.0,False,False
random,200,1000,1,5,0.5,Delta Stepping Sequential,,18.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),2.0,24.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),4.0,34.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),6.0,39.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),8.0,51.0,17.0,False,False
random,200,1000,1,5,0.5,Delta Stepping Sequential,,17.0,17.0,False,True
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),2.0,69.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),2.0,26.0,17.0,False,True
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),4.0,125.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),4.0,36.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),6.0,172.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),6.0,38.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 1),8.0,213.0,17.0,False,False
random,200,1000,1,5,0.5,Parallel Delta Stepping (version 2),8.0,50.0,17.0,False,False
