Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.35      0.13     0.13                             _init
  4.53      0.24     0.11      556     0.20     0.61  DeltaSteppingParallel2::relaxEdges(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&)
  2.67      0.30     0.07  2775182     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  2.47      0.36     0.06  2547128     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  2.47      0.42     0.06  2547122     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, double>, false> const&) const
  2.47      0.48     0.06   984444     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  2.06      0.54     0.05 13253562     0.00     0.00  operator new(unsigned long, void*)
  1.85      0.58     0.04  3675613     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, double> >::construct<std::pair<int, double>, std::pair<int, double> >(std::pair<int, double>*, std::pair<int, double>&&)
  1.85      0.62     0.04  2511306     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(int const&) const
  1.65      0.67     0.04 15619080     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  1.65      0.70     0.04 11620945     0.00     0.00  std::pair<int, double>* std::__addressof<std::pair<int, double> >(std::pair<int, double>&)
  1.65      0.74     0.04  2443068     0.00     0.00  void __gnu_cxx::new_allocator<GraphEdge>::construct<GraphEdge, GraphEdge>(GraphEdge*, GraphEdge&&)
