Vertex	Dijkstra	DeltaStepping	ParallelDeltaStepping
0	0	0	0
1	19.8778	19.8778	19.8778
2	31.4815	31.4815	31.4815
3	24.0165	24.0165	24.0165
4	26.1807	26.1807	26.1807
5	29.6599	29.6599	29.6599
6	25.5008	25.5008	25.5008
7	25.8006	25.8006	25.8006
8	24.5398	24.5398	24.5398
9	26.9316	26.9316	26.9316
10	25.3626	25.3626	25.3626
11	22.6092	22.6092	22.6092
12	27.8498	27.8498	27.8498
13	25.9571	25.9571	25.9571
14	25.0998	25.0998	25.0998
15	24.3768	24.3768	24.3768
16	38.7368	38.7368	38.7368
17	24.3892	24.3892	24.3892
18	26.7258	26.7258	26.7258
19	27.018	27.018	27.018
20	24.2301	24.2301	24.2301
21	26.983	26.983	26.983
22	25.6609	25.6609	25.6609
23	27.2087	27.2087	27.2087
24	20.4657	20.4657	20.4657
25	24.9622	24.9622	24.9622
26	24.3585	24.3585	24.3585
27	23.6895	23.6895	23.6895
28	20.2675	20.2675	20.2675
29	27.3574	27.3574	27.3574
30	30.4429	30.4429	30.4429
31	23.4689	23.4689	23.4689
32	29.2581	29.2581	29.2581
33	24.9346	24.9346	24.9346
34	24.9863	24.9863	24.9863
35	24.102	24.102	24.102
36	26.2883	26.2883	26.2883
37	25.602	25.602	25.602
38	31.3869	31.3869	31.3869
39	19.7499	19.7499	19.7499
40	21.0848	21.0848	21.0848
41	25.6741	25.6741	25.6741
42	21.2594	21.2594	21.2594
43	19.9706	19.9706	19.9706
44	21.7588	21.7588	21.7588
45	21.4938	21.4938	21.4938
46	26.4101	26.4101	26.4101
47	20.0388	20.0388	20.0388
48	23.9644	23.9644	23.9644
49	24.6097	24.6097	24.6097
50	22.43	22.43	22.43
51	1.79769e+308	inf	inf
52	26.621	26.621	26.621
53	20.6306	20.6306	20.6306
54	19.598	19.598	19.598
55	21.129	21.129	21.129
56	18.9497	18.9497	18.9497
57	23.5305	23.5305	23.5305
58	20.3492	20.3492	20.3492
59	26.4195	26.4195	26.4195
60	21.2561	21.2561	21.2561
61	23.5578	23.5578	23.5578
62	26.9239	26.9239	26.9239
63	23.8988	23.8988	23.8988
64	28.7471	28.7471	28.7471
65	12.7212	12.7212	12.7212
66	22.0442	22.0442	22.0442
67	20.3993	20.3993	20.3993
68	27.2625	27.2625	27.2625
69	28.9401	28.9401	28.9401
70	27.3591	27.3591	27.3591
71	29.0481	29.0481	29.0481
72	29.8494	29.8494	29.8494
73	24.5652	24.5652	24.5652
74	26.8336	26.8336	26.8336
75	28.4266	28.4266	28.4266
76	19.1283	19.1283	19.1283
77	25.9836	25.9836	25.9836
78	24.056	24.056	24.056
79	21.0048	21.0048	21.0048
80	20.0885	20.0885	20.0885
81	26.2936	26.2936	26.2936
82	20.7928	20.7928	20.7928
83	27.4827	27.4827	27.4827
84	24.7709	24.7709	24.7709
85	23.2585	23.2585	23.2585
86	30.1601	30.1601	30.1601
87	24.1809	24.1809	24.1809
88	19.096	19.096	19.096
89	23.3425	23.3425	23.3425
90	20.0931	20.0931	20.0931
91	22.1416	22.1416	22.1416
92	27.8955	27.8955	27.8955
93	21.0201	21.0201	21.0201
94	28.2725	28.2725	28.2725
95	31.9244	31.9244	31.9244
96	23.6152	23.6152	23.6152
97	18.331	18.331	18.331
98	23.935	23.935	23.935
99	25.0872	25.0872	25.0872
100	20.4171	20.4171	20.4171
101	17.3192	17.3192	17.3192
102	22.8002	22.8002	22.8002
103	22.2959	22.2959	22.2959
104	23.5871	23.5871	23.5871
105	25.6609	25.6609	25.6609
106	26.8244	26.8244	26.8244
107	26.3055	26.3055	26.3055
108	30.7126	30.7126	30.7126
109	29.8504	29.8504	29.8504
110	23.8189	23.8189	23.8189
111	28.5833	28.5833	28.5833
112	23.9711	23.9711	23.9711
113	23.0936	23.0936	23.0936
114	16.0044	16.0044	16.0044
115	13.7103	13.7103	13.7103
116	18.7812	18.7812	18.7812
117	27.0052	27.0052	27.0052
118	32.6278	32.6278	32.6278
119	23.7474	23.7474	23.7474
120	22.4513	22.4513	22.4513
121	22.5535	22.5535	22.5535
122	22.4599	22.4599	22.4599
123	20.3626	20.3626	20.3626
124	29.0685	29.0685	29.0685
125	29.1232	29.1232	29.1232
126	1.79769e+308	inf	inf
127	23.1714	23.1714	23.1714
128	20.0003	20.0003	20.0003
129	24.1645	24.1645	24.1645
130	22.7419	22.7419	22.7419
131	24.0046	24.0046	24.0046
132	24.3084	24.3084	24.3084
133	28.7541	28.7541	28.7541
134	23.0367	23.0367	23.0367
135	24.7692	24.7692	24.7692
136	24.4508	24.4508	24.4508
137	26.3637	26.3637	26.3637
138	30.8238	30.8238	30.8238
139	32.5534	32.5534	32.5534
140	9.34411	9.34411	9.34411
141	23.3145	23.3145	23.3145
142	24.4261	24.4261	24.4261
143	32.8129	32.8129	32.8129
144	23.3452	23.3452	23.3452
145	18.9583	18.9583	18.9583
146	21.1969	21.1969	21.1969
147	30.8435	30.8435	30.8435
148	19.611	19.611	19.611
149	17.8025	17.8025	17.8025
150	25.1792	25.1792	25.1792
151	21.7031	21.7031	21.7031
152	23.7335	23.7335	23.7335
153	26.3019	26.3019	26.3019
154	24.8062	24.8062	24.8062
155	19.3346	19.3346	19.3346
156	25.7674	25.7674	25.7674
157	25.1765	25.1765	25.1765
158	26.1205	26.1205	26.1205
159	21.5597	21.5597	21.5597
160	20.5887	20.5887	20.5887
161	27.0836	27.0836	27.0836
162	1.79769e+308	inf	inf
163	22.9073	22.9073	22.9073
164	25.38	25.38	25.38
165	27.1875	27.1875	27.1875
166	28.4971	28.4971	28.4971
167	17.8002	17.8002	17.8002
168	32.2567	32.2567	32.2567
169	24.4734	24.4734	24.4734
170	20.405	20.405	20.405
171	21.687	21.687	21.687
172	32.7354	32.7354	32.7354
173	24.0705	24.0705	24.0705
174	23.1107	23.1107	23.1107
175	31.5124	31.5124	31.5124
176	27.553	27.553	27.553
177	24.1442	24.1442	24.1442
178	19.1248	19.1248	19.1248
179	26.8653	26.8653	26.8653
180	3.34724	3.34724	3.34724
181	29.7932	29.7932	29.7932
182	29.1274	29.1274	29.1274
183	26.5258	26.5258	26.5258
184	25.6407	25.6407	25.6407
185	29.2913	29.2913	29.2913
186	15.4498	15.4498	15.4498
187	24.6877	24.6877	24.6877
188	30.3027	30.3027	30.3027
189	17.1083	17.1083	17.1083
190	18.7802	18.7802	18.7802
191	28.1394	28.1394	28.1394
192	20.2689	20.2689	20.2689
193	27.1088	27.1088	27.1088
194	26.8863	26.8863	26.8863
195	18.0336	18.0336	18.0336
196	25.2175	25.2175	25.2175
197	16.6191	16.6191	16.6191
198	25.9949	25.9949	25.9949
199	17.2135	17.2135	17.2135
200	24.3604	24.3604	24.3604
201	25.2309	25.2309	25.2309
202	14.7888	14.7888	14.7888
203	27.4452	27.4452	27.4452
204	23.7005	23.7005	23.7005
205	21.0655	21.0655	21.0655
206	24.713	24.713	24.713
207	21.7603	21.7603	21.7603
208	20.5078	20.5078	20.5078
209	17.0952	17.0952	17.0952
210	25.817	25.817	25.817
211	21.4064	21.4064	21.4064
212	26.0577	26.0577	26.0577
213	18.7272	18.7272	18.7272
214	22.808	22.808	22.808
215	28.0599	28.0599	28.0599
216	26.6726	26.6726	26.6726
217	19.2841	19.2841	19.2841
218	22.3217	22.3217	22.3217
219	22.0968	22.0968	22.0968
220	18.8594	18.8594	18.8594
221	17.1305	17.1305	17.1305
222	25.0049	25.0049	25.0049
223	29.0421	29.0421	29.0421
224	17.0697	17.0697	17.0697
225	16.3503	16.3503	16.3503
